period,hour,actual_hour,day,storage,inflow,demand,pump_flow,channel_flow,shortage,supply_rate,energy_kwh,electricity_price,energy_cost
t00,0,0,Day1,50046.4785153773,86.47851537733253,40.0,40.0,40.0,0.0,100.0,5.2,0.4,2.08
t01,1,1,Day1,50087.6944736745,83.80414874814504,42.588190451025206,42.5881904510252,42.5881904510243,0.0,99.99999999999997,5.536464758633277,0.4,2.214585903453311
t02,2,2,Day1,50122.2696771348,79.575203460356,45.0,45.0,45.0,0.0,100.0,5.8500000000000005,0.4,2.3400000000000003
t03,3,3,Day1,50165.2930654344,90.09445611143529,47.071067811865476,47.0710678118655,47.0710678118667,0.0,100.00000000000004,6.1192388155425155,0.4,2.4476955262170064
t04,4,4,Day1,50214.7136483943,98.0808369977389,48.66025403784438,48.6602540378444,48.6602540378444,0.0,100.00000000000004,6.325833024919772,0.4,2.530333209967909
t05,5,5,Day1,50257.5573211592,92.50293102783702,49.65925826289068,49.6592582628907,49.6592582628909,0.0,100.00000000000004,6.455703574175791,0.4,2.5822814296703167
t06,6,6,Day1,50278.6572944218,101.09997326262355,80.0,80.0,80.0,0.0,100.0,10.4,0.8,8.32
t07,7,7,Day1,50281.1489844124,90.145358637818,87.6536686473018,87.6536686473018,87.6536686473009,0.0,100.0,11.394976924149235,0.8,9.115981539319389
t08,8,8,Day1,50287.2235683239,100.21671953525274,94.14213562373095,94.142135623731,94.1421356237297,0.0,100.00000000000004,12.238477631085024,1.2,14.686173157302028
t09,9,9,Day1,50286.2689686959,97.52299102219969,98.47759065022574,98.4775906502257,98.4775906502255,0.0,99.99999999999996,12.802086784529347,1.2,15.362504141435217
t10,10,10,Day1,50298.5862651694,102.31729647355685,90.0,90.0,90.0,0.0,100.0,11.700000000000001,1.2,14.040000000000001
t11,11,11,Day1,50307.5921417059,100.95677975665578,91.95090322016128,91.9509032201613,91.9509032201604,0.0,100.00000000000003,11.953617418620967,1.2,14.34434090234516
t12,12,12,Day1,50321.707103941,107.94179655875814,93.8268343236509,93.8268343236509,93.8268343236523,0.0,100.0,12.197488462074618,0.8,9.757990769659695
t13,13,13,Day1,50321.2147160465,95.06331443565715,95.55570233019603,95.555702330196,95.5557023301953,0.0,99.99999999999997,12.422241302925485,0.8,9.937793042340388
t14,14,14,Day1,50332.3025682838,108.15892004922829,97.07106781186548,97.0710678118655,97.0710678118667,0.0,100.00000000000003,12.619238815542515,0.8,10.095391052434012
t15,15,15,Day1,50334.3944685094,100.40659634856638,98.31469612302546,98.3146961230255,98.3146961230268,0.0,100.00000000000004,12.78091049599331,0.8,10.22472839679465
t16,16,16,Day1,50336.1760016606,101.02032847631534,99.23879532511287,99.2387953251129,99.2387953251127,0.0,100.00000000000003,12.901043392264674,0.8,10.32083471381174
t17,17,17,Day1,50335.2392661769,98.87111732039432,99.80785280403231,99.8078528040323,99.8078528040314,0.0,99.99999999999999,12.9750208645242,0.8,10.38001669161936
t18,18,18,Day1,50329.1591757886,93.9199096116233,100.0,100.0,100.0,0.0,100.0,13.000000000000002,1.2,15.600000000000001
t19,19,19,Day1,50309.2283626985,85.80943839544602,105.74025148547635,105.740251485476,105.740251485477,0.0,99.99999999999967,13.74623269311192,1.2,16.495479231734304
t20,20,20,Day1,50290.5834955087,91.96173452796698,110.60660171779821,110.606601717798,110.606601717798,0.0,99.99999999999982,14.378858223313767,1.2,17.25462986797652
t21,21,21,Day1,50262.4808505259,85.75554800485853,113.8581929876693,113.858192987669,113.858192987671,0.0,99.99999999999973,14.80156508839701,1.2,17.761878106076413
t22,22,22,Day1,50303.347862895,90.86701236912711,50.0,50.0,50.0,0.0,100.0,6.5,0.8,5.2
t23,23,23,Day1,50324.7044773893,78.42768230616639,57.071067811865476,57.0710678118655,57.0710678118667,0.0,100.00000000000004,7.419238815542515,0.8,5.935391052434013
t24,24,0,Day2,50376.9683187154,87.2638413260528,35.0,35.0,35.0,0.0,100.0,4.550000000000001,0.4,1.8200000000000003
t25,25,1,Day2,50418.50659084,78.09899470074274,36.560722576129024,36.560722576129,36.5607225761305,0.0,99.99999999999994,4.752893934896773,0.4,1.9011575739587092
t26,26,2,Day2,50457.8188402498,77.37371686871725,38.06146745892072,38.0614674589207,38.0614674589197,0.0,99.99999999999997,4.947990769659694,0.4,1.9791963078638777
t27,27,3,Day2,50493.4759727627,75.10169437704023,39.44456186415682,39.4445618641568,39.4445618641585,0.0,99.99999999999997,5.127793042340387,0.4,2.051117216936155
t28,28,4,Day2,50530.3793506879,77.56023217469539,40.65685424949238,40.6568542494924,40.6568542494933,0.0,100.00000000000004,5.285391052434012,0.4,2.1141564209736052
t29,29,5,Day2,50556.2090487594,67.48145496998713,41.65175689842036,41.6517568984204,41.65175689842,0.0,100.00000000000011,5.4147283967946525,0.4,2.165891358717861
t30,30,6,Day2,50580.688948566,66.87093606662667,42.391036260090296,42.3910362600903,42.3910362600909,0.0,100.00000000000003,5.5108347138117395,0.8,4.408667771049392
t31,31,7,Day2,50599.823295441,61.980629118234674,42.84628224322584,42.8462822432258,42.8462822432266,0.0,99.9999999999999,5.5700166916193545,0.8,4.456013353295484
t32,32,8,Day2,50607.472736852,67.64944141103379,60.0,60.0,60.0,0.0,100.0,7.800000000000001,1.2,9.360000000000001
