period,hour,storage,inflow,demand,pump_flow,actual_supply,shortage,supply_rate,energy_kwh,electricity_price,energy_cost
t00,0,49960.0,0.0,40.0,40.0,40.0,0.0,100.0,5.2,0.4,2.08
t01,1,49920.0,0.0,40.0,40.0,40.0,0.0,100.0,5.2,0.4,2.08
t02,2,49880.0,0.0,40.0,40.0,40.0,0.0,100.0,5.2,0.4,2.08
t03,3,49840.0,0.0,40.0,40.0,40.0,0.0,100.0,5.2,0.4,2.08
t04,4,49800.0,0.0,40.0,40.0,40.0,0.0,100.0,5.2,0.4,2.08
t05,5,49760.0,0.0,40.0,40.0,40.0,0.0,100.0,5.2,0.4,2.08
t06,6,49720.0,0.0,40.0,40.0,40.0,0.0,100.0,5.2,0.4,2.08
t07,7,49665.0,0.0,55.0,55.0,55.0,0.0,100.0,7.15,0.8,5.720000000000001
t08,8,49599.0192378865,0.0,65.98076211353316,65.9807621135333,65.9807621135333,0.0,100.0,8.577499074759329,1.2,10.292998889711194
t09,9,49539.0192378865,0.0,60.0,60.0,60.0,0.0,100.0,7.800000000000001,1.2,9.360000000000001
t10,10,49479.0192378865,0.0,60.0,60.0,60.0,0.0,100.0,7.800000000000001,1.2,9.360000000000001
t11,11,49419.0192378865,0.0,60.0,60.0,60.0,0.0,100.0,7.800000000000001,1.2,9.360000000000001
t12,12,49359.0192378865,0.0,60.0,60.0,60.0,0.0,100.0,7.800000000000001,0.8,6.240000000000001
t13,13,49299.0192378865,0.0,60.0,60.0,60.0,0.0,100.0,7.800000000000001,0.8,6.240000000000001
t14,14,49239.0192378865,0.0,60.0,60.0,60.0,0.0,100.0,7.800000000000001,0.8,6.240000000000001
t15,15,49179.0192378865,0.0,60.0,60.0,60.0,0.0,100.0,7.800000000000001,0.8,6.240000000000001
t16,16,49119.0192378865,0.0,60.0,60.0,60.0,0.0,100.0,7.800000000000001,0.8,6.240000000000001
t17,17,49059.0192378865,0.0,60.0,60.0,60.0,0.0,100.0,7.800000000000001,0.8,6.240000000000001
t18,18,48992.838897999,0.0,66.18033988749895,66.1803398874981,66.1803398874981,0.0,100.0,8.603444185374753,1.2,10.324133022449704
t19,19,48921.0831929531,0.0,71.75570504584947,71.755705045849,71.755705045849,0.0,100.0,9.32824165596037,1.2,11.193889987152444
t20,20,48844.9028530656,0.0,76.18033988749895,76.1803398874981,76.1803398874981,0.0,100.0,9.903444185374754,1.2,11.884133022449705
t21,21,48765.8817227397,0.0,79.02113032590307,79.0211303258984,79.0211303258984,0.0,100.0,10.272746942366792,1.2,12.32729633084015
t22,22,48715.8817227397,0.0,50.0,50.0,50.0,0.0,100.0,6.5,0.4,2.6
t23,23,48665.8817227397,0.0,50.0,50.0,50.0,0.0,100.0,6.5,0.4,2.6
t24,24,48633.8817227397,0.0,32.0,32.0,32.0,0.0,100.0,4.16,0.4,1.6640000000000001
t25,25,48601.8817227397,0.0,32.0,32.0,32.0,0.0,100.0,4.16,0.4,1.6640000000000001
t26,26,48569.8817227397,0.0,32.0,32.0,32.0,0.0,100.0,4.16,0.4,1.6640000000000001
t27,27,48537.8817227397,0.0,32.0,32.0,32.0,0.0,100.0,4.16,0.4,1.6640000000000001
t28,28,48505.8817227397,0.0,32.0,32.0,32.0,0.0,100.0,4.16,0.4,1.6640000000000001
t29,29,48473.8817227397,0.0,32.0,32.0,32.0,0.0,100.0,4.16,0.4,1.6640000000000001
t30,30,48441.8817227397,0.0,32.0,32.0,32.0,0.0,100.0,4.16,0.4,1.6640000000000001
t31,31,48397.8817227397,0.0,44.0,44.0,44.0,0.0,100.0,5.720000000000001,0.8,4.5760000000000005
t32,32,48345.0971130489,0.0,52.78460969082653,52.7846096908324,52.7846096908324,0.0,100.0,6.861999259808212,1.2,8.234399111769854
t33,33,48297.0971130489,0.0,48.0,48.0,48.0,0.0,100.0,6.24,1.2,7.4879999999999995
t34,34,48249.0971130489,0.0,48.0,48.0,48.0,0.0,100.0,6.24,1.2,7.4879999999999995
t35,35,48201.0971130489,0.0,48.0,48.0,48.0,0.0,100.0,6.24,1.2,7.4879999999999995
t36,36,48153.0971130489,0.0,48.0,48.0,48.0,0.0,100.0,6.24,0.8,4.992000000000001
t37,37,48105.0971130489,0.0,48.0,48.0,48.0,0.0,100.0,6.24,0.8,4.992000000000001
t38,38,48057.0971130489,0.0,48.0,48.0,48.0,0.0,100.0,6.24,0.8,4.992000000000001
t39,39,48009.0971130489,0.0,48.0,48.0,48.0,0.0,100.0,6.24,0.8,4.992000000000001
t40,40,47961.0971130489,0.0,48.0,48.0,48.0,0.0,100.0,6.24,0.8,4.992000000000001
t41,41,47913.0971130489,0.0,48.0,48.0,48.0,0.0,100.0,6.24,0.8,4.992000000000001
t42,42,47860.1528411389,0.0,52.94427190999916,52.944271909997,52.944271909997,0.0,100.0,6.88275534829961,1.2,8.259306417959532
t43,43,47802.7482771022,0.0,57.404564036679574,57.4045640366749,57.4045640366749,0.0,100.0,7.462593324767737,1.2,8.955111989721285
t44,44,47741.8040051922,0.0,60.94427190999916,60.9442719100043,60.9442719100043,0.0,100.0,7.9227553483005595,1.2,9.50730641796067
t45,45,47678.5871009315,0.0,63.21690426072246,63.2169042607275,63.2169042607275,0.0,100.0,8.218197553894576,1.2,9.861837064673491
t46,46,47638.5871009315,0.0,40.0,40.0,40.0,0.0,100.0,5.2,0.4,2.08
t47,47,47598.5871009315,0.0,40.0,40.0,40.0,0.0,100.0,5.2,0.4,2.08
