period,hour,storage,inflow,demand,pump_flow,actual_supply,shortage,supply_rate,energy_kwh,electricity_price,energy_cost
t00,0,49944.0,0.0,56.0,56.0,56.0,0.0,100.0,7.28,0.4,2.9120000000000004
t01,1,49888.0,0.0,56.0,56.0,56.0,0.0,100.0,7.28,0.4,2.9120000000000004
t02,2,49832.0,0.0,56.0,56.0,56.0,0.0,100.0,7.28,0.4,2.9120000000000004
t03,3,49776.0,0.0,56.0,56.0,56.0,0.0,100.0,7.28,0.4,2.9120000000000004
t04,4,49720.0,0.0,56.0,56.0,56.0,0.0,100.0,7.28,0.4,2.9120000000000004
t05,5,49664.0,0.0,56.0,56.0,56.0,0.0,100.0,7.28,0.4,2.9120000000000004
t06,6,49608.0,0.0,56.0,56.0,56.0,0.0,100.0,7.28,0.4,2.9120000000000004
t07,7,49531.0,0.0,77.0,77.0,77.0,0.0,100.0,10.01,0.8,8.008000000000001
t08,8,49438.6269330411,0.0,92.37306695894642,92.3730669589422,92.3730669589422,0.0,100.0,12.008498704662486,1.2,14.410198445594983
t09,9,49354.6269330411,0.0,84.0,84.0,84.0,0.0,100.0,10.92,1.2,13.104
t10,10,49270.6269330411,0.0,84.0,84.0,84.0,0.0,100.0,10.92,1.2,13.104
t11,11,49186.6269330411,0.0,84.0,84.0,84.0,0.0,100.0,10.92,1.2,13.104
t12,12,49102.6269330411,0.0,84.0,84.0,84.0,0.0,100.0,10.92,0.8,8.736
t13,13,49018.6269330411,0.0,84.0,84.0,84.0,0.0,100.0,10.92,0.8,8.736
t14,14,48934.6269330411,0.0,84.0,84.0,84.0,0.0,100.0,10.92,0.8,8.736
t15,15,48850.6269330411,0.0,84.0,84.0,84.0,0.0,100.0,10.92,0.8,8.736
t16,16,48766.6269330411,0.0,84.0,84.0,84.0,0.0,100.0,10.92,0.8,8.736
t17,17,48682.6269330411,0.0,84.0,84.0,84.0,0.0,100.0,10.92,0.8,8.736
t18,18,48589.9744571986,0.0,92.65247584249852,92.6524758425076,92.6524758425076,0.0,100.0,12.044821859525989,1.2,14.453786231431186
t19,19,48489.5164701344,0.0,100.45798706418925,100.45798706419,100.45798706419,0.0,100.0,13.0595383183447,1.2,15.671445982013639
t20,20,48382.8639942919,0.0,106.65247584249852,106.652475842493,106.652475842493,0.0,100.0,13.86482185952409,1.2,16.637786231428908
t21,21,48272.2344118356,0.0,110.6295824562643,110.629582456269,110.629582456269,0.0,100.0,14.38184571931497,1.2,17.258214863177965
t22,22,48202.2344118356,0.0,70.0,70.0,70.0,0.0,100.0,9.1,0.4,3.64
t23,23,48132.2344118356,0.0,70.0,70.0,70.0,0.0,100.0,9.1,0.4,3.64
t24,24,48087.4344118356,0.0,44.8,44.8000000000029,44.8000000000029,0.0,100.0,5.824000000000377,0.4,2.329600000000151
t25,25,48042.6344118356,0.0,44.8,44.7999999999956,44.7999999999956,0.0,100.0,5.823999999999428,0.4,2.3295999999997714
t26,26,47997.8344118356,0.0,44.8,44.7999999999956,44.7999999999956,0.0,100.0,5.823999999999428,0.4,2.3295999999997714
t27,27,47953.0344118356,0.0,44.8,44.8000000000029,44.8000000000029,0.0,100.0,5.824000000000377,0.4,2.329600000000151
t28,28,47908.2344118356,0.0,44.8,44.8000000000029,44.8000000000029,0.0,100.0,5.824000000000377,0.4,2.329600000000151
t29,29,47863.4344118356,0.0,44.8,44.7999999999956,44.7999999999956,0.0,100.0,5.823999999999428,0.4,2.3295999999997714
t30,30,47818.6344118356,0.0,44.8,44.7999999999956,44.7999999999956,0.0,100.0,5.823999999999428,0.4,2.3295999999997714
t31,31,47757.0344118356,0.0,61.599999999999994,61.6000000000058,61.6000000000058,0.0,100.0,8.008000000000754,0.8,6.406400000000604
t32,32,47683.1359582684,0.0,73.89845356715713,73.8984535671552,73.8984535671552,0.0,100.0,9.606798963730176,1.2,11.528158756476211
t33,33,47615.9359582684,0.0,67.19999999999999,67.2000000000044,67.2000000000044,0.0,100.0,8.73600000000057,1.2,10.483200000000684
t34,34,47548.7359582684,0.0,67.19999999999999,67.1999999999971,67.1999999999971,0.0,100.0,8.735999999999624,1.2,10.483199999999549
t35,35,47481.5359582684,0.0,67.19999999999999,67.1999999999971,67.1999999999971,0.0,100.0,8.735999999999624,1.2,10.483199999999549
t36,36,47414.3359582684,0.0,67.19999999999999,67.2000000000044,67.2000000000044,0.0,100.0,8.73600000000057,0.8,6.988800000000457
t37,37,47347.1359582684,0.0,67.19999999999999,67.2000000000044,67.2000000000044,0.0,100.0,8.73600000000057,0.8,6.988800000000457
t38,38,47279.9359582684,0.0,67.19999999999999,67.1999999999971,67.1999999999971,0.0,100.0,8.735999999999624,0.8,6.988799999999699
t39,39,47212.7359582684,0.0,67.19999999999999,67.1999999999971,67.1999999999971,0.0,100.0,8.735999999999624,0.8,6.988799999999699
t40,40,47145.5359582684,0.0,67.19999999999999,67.2000000000044,67.2000000000044,0.0,100.0,8.73600000000057,0.8,6.988800000000457
t41,41,47078.3359582684,0.0,67.19999999999999,67.2000000000044,67.2000000000044,0.0,100.0,8.73600000000057,0.8,6.988800000000457
t42,42,47004.2139775944,0.0,74.12198067399882,74.1219806739973,74.1219806739973,0.0,100.0,9.63585748761965,1.2,11.563028985143578
t43,43,46923.8475879431,0.0,80.3663896513514,80.3663896513463,80.3663896513463,0.0,100.0,10.447630654675018,1.2,12.537156785610021
t44,44,46838.5256072691,0.0,85.32198067399882,85.3219806739944,85.3219806739944,0.0,100.0,11.091857487619272,1.2,13.310228985143127
t45,45,46750.0219413041,0.0,88.50366596501144,88.5036659650141,88.5036659650141,0.0,100.0,11.505476575451832,1.2,13.806571890542198
t46,46,46694.0219413041,0.0,56.0,56.0,56.0,0.0,100.0,7.28,0.4,2.9120000000000004
t47,47,46638.0219413041,0.0,56.0,56.0,56.0,0.0,100.0,7.28,0.4,2.9120000000000004
