period,hour,storage,inflow,demand,pump_flow,actual_supply,shortage,supply_rate,energy_kwh,electricity_price,energy_cost,reservoir_status,capacity_usage
t00,0,44965.0,0.0,35.0,35.0,35.0,0.0,100.0,4.55,0.4,1.82,正常,23.333333333333332
t01,1,44930.0,0.0,35.0,35.0,35.0,0.0,100.0,4.55,0.4,1.82,正常,23.333333333333332
t02,2,44895.0,0.0,35.0,35.0,35.0,0.0,100.0,4.55,0.4,1.82,正常,23.333333333333332
t03,3,44860.0,0.0,35.0,35.0,35.0,0.0,100.0,4.55,0.4,1.82,正常,23.333333333333332
t04,4,44825.0,0.0,35.0,35.0,35.0,0.0,100.0,4.55,0.4,1.82,正常,23.333333333333332
t05,5,44790.0,0.0,35.0,35.0,35.0,0.0,100.0,4.55,0.4,1.82,正常,23.333333333333332
t06,6,44732.5,0.0,57.5,57.5,57.5,0.0,100.0,7.4750000000000005,0.4,2.99,正常,38.333333333333336
t07,7,44658.5288568297,0.0,73.97114317029974,73.9711431703035,73.97114317029974,0.0,100.0,9.616248612139456,0.8,7.692998889711565,正常,49.314095446869004
t08,8,44583.5288568297,0.0,75.0,75.0,75.0,0.0,100.0,9.75,1.2,11.7,正常,50.0
t09,9,44508.5288568297,0.0,75.0,75.0,75.0,0.0,100.0,9.75,1.2,11.7,正常,50.0
t10,10,44433.5288568297,0.0,75.0,75.0,75.0,0.0,100.0,9.75,1.2,11.7,正常,50.0
t11,11,44368.5288568297,0.0,65.0,65.0,65.0,0.0,100.0,8.450000000000001,1.2,10.14,正常,43.333333333333336
t12,12,44303.5288568297,0.0,65.0,65.0,65.0,0.0,100.0,8.450000000000001,0.8,6.760000000000002,正常,43.333333333333336
t13,13,44233.5288568297,0.0,70.0,70.0,70.0,0.0,100.0,9.1,0.8,7.28,正常,46.666666666666664
t14,14,44163.5288568297,0.0,70.0,70.0,70.0,0.0,100.0,9.1,0.8,7.28,正常,46.666666666666664
t15,15,44093.5288568297,0.0,70.0,70.0,70.0,0.0,100.0,9.1,0.8,7.28,正常,46.666666666666664
t16,16,44023.5288568297,0.0,70.0,70.0,70.0,0.0,100.0,9.1,0.8,7.28,正常,46.666666666666664
t17,17,43953.5288568297,0.0,70.0,70.0,70.0,0.0,100.0,9.1,0.8,7.28,正常,46.666666666666664
t18,18,43872.0483538587,0.0,81.4805029709527,81.4805029709532,81.4805029709527,0.0,100.0,10.592465386223916,1.2,12.710958463468698,正常,54.32033531396879
t19,19,43780.8351504232,0.0,91.21320343559643,91.2132034355891,91.21320343559643,0.0,100.0,11.857716446626583,1.2,14.2292597359519,正常,60.80880229039273
t20,20,43683.1187644478,0.0,97.7163859753386,97.7163859753418,97.7163859753386,0.0,100.0,12.703130176794433,1.2,15.243756212153318,正常,65.14425731689452
t21,21,43628.1187644478,0.0,55.0,55.0,55.0,0.0,100.0,7.15,1.2,8.58,正常,36.666666666666664
t22,22,43573.1187644478,0.0,55.0,55.0,55.0,0.0,100.0,7.15,0.4,2.8600000000000003,正常,36.666666666666664
t23,23,43533.1187644478,0.0,40.0,40.0,40.0,0.0,100.0,5.2,0.4,2.08,正常,26.666666666666668
t24,24,43503.3687644478,0.0,29.75,29.75,29.75,0.0,100.0,3.8675,0.4,1.5470000000000002,正常,19.833333333333332
t25,25,43473.6187644478,0.0,29.75,29.75,29.75,0.0,100.0,3.8675,0.4,1.5470000000000002,正常,19.833333333333332
t26,26,43443.8687644478,0.0,29.75,29.75,29.75,0.0,100.0,3.8675,0.4,1.5470000000000002,正常,19.833333333333332
t27,27,43414.1187644478,0.0,29.75,29.75,29.75,0.0,100.0,3.8675,0.4,1.5470000000000002,正常,19.833333333333332
t28,28,43384.3687644478,0.0,29.75,29.75,29.75,0.0,100.0,3.8675,0.4,1.5470000000000002,正常,19.833333333333332
t29,29,43354.6187644478,0.0,29.75,29.75,29.75,0.0,100.0,3.8675,0.4,1.5470000000000002,正常,19.833333333333332
t30,30,43305.7437644478,0.0,48.875,48.875,48.875,0.0,100.0,6.35375,0.4,2.5415,正常,32.58333333333333
t31,31,43242.8682927531,0.0,62.87547169475478,62.8754716947515,62.87547169475478,0.0,100.0,8.173811320317697,0.8,6.539049056254157,正常,41.91698112983433
t32,32,43179.1182927531,0.0,63.75,63.75,63.75,0.0,100.0,8.2875,1.2,9.944999999999999,正常,42.5
t33,33,43115.3682927531,0.0,63.75,63.75,63.75,0.0,100.0,8.2875,1.2,9.944999999999999,正常,42.5
t34,34,43051.6182927531,0.0,63.75,63.75,63.75,0.0,100.0,8.2875,1.2,9.944999999999999,正常,42.5
t35,35,42996.3682927531,0.0,55.25,55.25,55.25,0.0,100.0,7.1825,1.2,8.619,正常,36.833333333333336
t36,36,42941.1182927531,0.0,55.25,55.25,55.25,0.0,100.0,7.1825,0.8,5.746,正常,36.833333333333336
t37,37,42881.6182927531,0.0,59.5,59.5,59.5,0.0,100.0,7.735,0.8,6.188000000000001,正常,39.666666666666664
t38,38,42822.1182927531,0.0,59.5,59.5,59.5,0.0,100.0,7.735,0.8,6.188000000000001,正常,39.666666666666664
t39,39,42762.6182927531,0.0,59.5,59.5,59.5,0.0,100.0,7.735,0.8,6.188000000000001,正常,39.666666666666664
t40,40,42703.1182927531,0.0,59.5,59.5,59.5,0.0,100.0,7.735,0.8,6.188000000000001,正常,39.666666666666664
t41,41,42643.6182927531,0.0,59.5,59.5,59.5,0.0,100.0,7.735,0.8,6.188000000000001,正常,39.666666666666664
t42,42,42574.3598652277,0.0,69.2584275253098,69.2584275253175,69.2584275253098,0.0,100.0,9.003595578291275,1.2,10.80431469394953,正常,46.172285016878334
t43,43,42496.8286423075,0.0,77.53122292025697,77.5312229202536,77.53122292025697,0.0,100.0,10.079058979632968,1.2,12.094870775559562,正常,51.68748194683573
t44,44,42413.7697142285,0.0,83.0589280790378,83.0589280790373,83.0589280790378,0.0,100.0,10.79766065027485,1.2,12.95719278032982,正常,55.3726187193582
t45,45,42367.0197142285,0.0,46.75,46.75,46.75,0.0,100.0,6.077500000000001,1.2,7.293,正常,31.166666666666664
t46,46,42320.2697142285,0.0,46.75,46.75,46.75,0.0,100.0,6.077500000000001,0.4,2.4310000000000005,正常,31.166666666666664
t47,47,42286.2697142285,0.0,34.0,34.0,34.0,0.0,100.0,4.42,0.4,1.768,正常,22.666666666666664
