period,hour,storage,inflow,demand,pump_flow,actual_supply,shortage,supply_rate,energy_kwh,electricity_price,energy_cost,reservoir_status,capacity_usage
t00,0,37965.0,0.0,35.0,35.0,35.0,0.0,100.0,4.55,0.4,1.82,正常,23.333333333333332
t01,1,37930.0,0.0,35.0,35.0,35.0,0.0,100.0,4.55,0.4,1.82,正常,23.333333333333332
t02,2,37895.0,0.0,35.0,35.0,35.0,0.0,100.0,4.55,0.4,1.82,正常,23.333333333333332
t03,3,37860.0,0.0,35.0,35.0,35.0,0.0,100.0,4.55,0.4,1.82,正常,23.333333333333332
t04,4,37825.0,0.0,35.0,35.0,35.0,0.0,100.0,4.55,0.4,1.82,正常,23.333333333333332
t05,5,37790.0,0.0,35.0,35.0,35.0,0.0,100.0,4.55,0.4,1.82,正常,23.333333333333332
t06,6,37732.5,0.0,57.5,57.5,57.5,0.0,100.0,7.4750000000000005,0.4,2.99,正常,38.333333333333336
t07,7,37658.5288568297,0.0,73.97114317029974,73.9711431703035,73.97114317029974,0.0,100.0,9.616248612139456,0.8,7.692998889711565,正常,49.314095446869004
t08,8,37583.5288568297,0.0,75.0,75.0,75.0,0.0,100.0,9.75,1.2,11.7,正常,50.0
t09,9,37508.5288568297,0.0,75.0,75.0,75.0,0.0,100.0,9.75,1.2,11.7,正常,50.0
t10,10,37433.5288568297,0.0,75.0,75.0,75.0,0.0,100.0,9.75,1.2,11.7,正常,50.0
t11,11,37368.5288568297,0.0,65.0,65.0,65.0,0.0,100.0,8.450000000000001,1.2,10.14,正常,43.333333333333336
t12,12,37303.5288568297,0.0,65.0,65.0,65.0,0.0,100.0,8.450000000000001,0.8,6.760000000000002,正常,43.333333333333336
t13,13,37233.5288568297,0.0,70.0,70.0,70.0,0.0,100.0,9.1,0.8,7.28,正常,46.666666666666664
t14,14,37163.5288568297,0.0,70.0,70.0,70.0,0.0,100.0,9.1,0.8,7.28,正常,46.666666666666664
t15,15,37093.5288568297,0.0,70.0,70.0,70.0,0.0,100.0,9.1,0.8,7.28,正常,46.666666666666664
t16,16,37023.5288568297,0.0,70.0,70.0,70.0,0.0,100.0,9.1,0.8,7.28,正常,46.666666666666664
t17,17,36953.5288568297,0.0,70.0,70.0,70.0,0.0,100.0,9.1,0.8,7.28,正常,46.666666666666664
t18,18,36872.0483538587,0.0,81.4805029709527,81.4805029709532,81.4805029709527,0.0,100.0,10.592465386223916,1.2,12.710958463468698,正常,54.32033531396879
t19,19,36780.8351504232,0.0,91.21320343559643,91.2132034355891,91.21320343559643,0.0,100.0,11.857716446626583,1.2,14.2292597359519,正常,60.80880229039273
