period,hour,storage,inflow,demand,pump_flow,actual_supply,shortage,supply_rate,energy_kwh,electricity_price,energy_cost,reservoir_status,capacity_usage
t00,0,29958.0,0.0,42.0,42.0,42.0,0.0,100.0,5.46,0.4,2.184,警戒,32.30769230769231
t01,1,29916.0,0.0,42.0,42.0,42.0,0.0,100.0,5.46,0.4,2.184,警戒,32.30769230769231
t02,2,29874.0,0.0,42.0,42.0,42.0,0.0,100.0,5.46,0.4,2.184,警戒,32.30769230769231
t03,3,29832.0,0.0,42.0,42.0,42.0,0.0,100.0,5.46,0.4,2.184,警戒,32.30769230769231
t04,4,29790.0,0.0,42.0,42.0,42.0,0.0,100.0,5.46,0.4,2.184,警戒,32.30769230769231
t05,5,29748.0,0.0,42.0,42.0,42.0,0.0,100.0,5.46,0.4,2.184,警戒,32.30769230769231
t06,6,29679.0,0.0,69.0,69.0,69.0,0.0,100.0,8.97,0.4,3.5880000000000005,警戒,53.07692307692308
t07,7,29590.2346281956,0.0,88.76537180435969,88.7653718043584,88.76537180435969,0.0,100.0,11.539498334566591,0.8,9.231598667653273,警戒,68.28105523412185
t08,8,29500.2346281956,0.0,90.0,90.0,90.0,0.0,100.0,11.700000000000001,1.2,14.040000000000001,警戒,69.23076923076923
t09,9,29410.2346281956,0.0,90.0,90.0,90.0,0.0,100.0,11.700000000000001,1.2,14.040000000000001,警戒,69.23076923076923
t10,10,29320.2346281956,0.0,90.0,90.0,90.0,0.0,100.0,11.700000000000001,1.2,14.040000000000001,警戒,69.23076923076923
t11,11,29242.2346281956,0.0,78.0,78.0,78.0,0.0,100.0,10.14,1.2,12.168000000000001,警戒,60.0
t12,12,29164.2346281956,0.0,78.0,78.0,78.0,0.0,100.0,10.14,0.8,8.112,警戒,60.0
t13,13,29080.2346281956,0.0,84.0,84.0,84.0,0.0,100.0,10.92,0.8,8.736,警戒,64.61538461538461
t14,14,28996.2346281956,0.0,84.0,84.0,84.0,0.0,100.0,10.92,0.8,8.736,警戒,64.61538461538461
t15,15,28912.2346281956,0.0,84.0,84.0,84.0,0.0,100.0,10.92,0.8,8.736,警戒,64.61538461538461
t16,16,28828.2346281956,0.0,84.0,84.0,84.0,0.0,100.0,10.92,0.8,8.736,警戒,64.61538461538461
t17,17,28744.2346281956,0.0,84.0,84.0,84.0,0.0,100.0,10.92,0.8,8.736,警戒,64.61538461538461
t18,18,28646.4580246305,0.0,97.77660356514323,97.7766035651439,97.77660356514323,0.0,100.0,12.710958463468707,1.2,15.253150156162448,警戒,75.21277197318761
t19,19,28537.0021805078,0.0,109.4558441227157,109.455844122716,109.4558441227157,0.0,100.0,14.22925973595308,1.2,17.075111683143696,警戒,84.19680317132
t20,20,28419.7425173374,0.0,117.25966317040631,117.259663170407,117.25966317040631,0.0,100.0,15.24375621215291,1.2,18.29250745458349,警戒,90.19974090031307
t21,21,28353.7425173374,0.0,66.0,66.0,66.0,0.0,100.0,8.58,1.2,10.296,警戒,50.76923076923077
t22,22,28287.7425173374,0.0,66.0,66.0,66.0,0.0,100.0,8.58,0.4,3.4320000000000004,警戒,50.76923076923077
t23,23,28239.7425173374,0.0,48.0,48.0,48.0,0.0,100.0,6.24,0.4,2.4960000000000004,警戒,36.92307692307693
t24,24,28204.0425173374,0.0,35.699999999999996,35.7000000000007,35.699999999999996,0.0,100.0,4.641000000000091,0.4,1.8564000000000362,警戒,27.461538461538996
t25,25,28168.3425173374,0.0,35.699999999999996,35.6999999999971,35.699999999999996,0.0,100.0,4.6409999999996225,0.4,1.856399999999849,警戒,27.46153846153623
