period,hour,storage,inflow,demand,pump_flow,actual_supply,shortage,supply_rate,energy_kwh,electricity_price,energy_cost,reservoir_status,capacity_usage
t00,0,26951.0,0.0,49.0,49.0,49.0,0.0,100.0,6.37,0.4,2.548,警戒,54.44444444444444
t01,1,26902.0,0.0,49.0,49.0,49.0,0.0,100.0,6.37,0.4,2.548,警戒,54.44444444444444
t02,2,26853.0,0.0,49.0,49.0,49.0,0.0,100.0,6.37,0.4,2.548,警戒,54.44444444444444
t03,3,26804.0,0.0,49.0,49.0,49.0,0.0,100.0,6.37,0.4,2.548,警戒,54.44444444444444
t04,4,26755.0,0.0,49.0,49.0,49.0,0.0,100.0,6.37,0.4,2.548,警戒,54.44444444444444
t05,5,26706.0,0.0,49.0,49.0,49.0,0.0,100.0,6.37,0.4,2.548,警戒,54.44444444444444
t06,6,26625.5,0.0,80.5,80.5,80.5,0.0,100.0,10.465,0.4,4.186,警戒,89.44444444444444
t07,7,26540.0,0.0,103.55960043841964,85.5,85.50000000000003,18.0596004384196,82.56115284149004,11.115,0.8,8.892000000000001,警戒,95.0
t08,8,26454.5,0.0,105.0,85.5,85.5,19.5,81.42857142857143,11.115,1.2,13.338,警戒,95.0
t09,9,26369.0,0.0,105.0,85.5,85.5,19.5,81.42857142857143,11.115,1.2,13.338,警戒,95.0
t10,10,26283.5,0.0,105.0,85.5,85.5,19.5,81.42857142857143,11.115,1.2,13.338,警戒,95.0
t11,11,26198.0,0.0,91.0,85.5,85.5,5.5,93.95604395604396,11.115,1.2,13.338,危险,95.0
t12,12,26112.5,0.0,91.0,85.5,85.5,5.5,93.95604395604396,11.115,0.8,8.892000000000001,危险,95.0
t13,13,26027.0,0.0,98.0,85.5,85.5,12.5,87.24489795918367,11.115,0.8,8.892000000000001,危险,95.0
t14,14,25941.5,0.0,98.0,85.5,85.5,12.5,87.24489795918367,11.115,0.8,8.892000000000001,危险,95.0
t15,15,25856.0,0.0,98.0,85.5,85.5,12.5,87.24489795918367,11.115,0.8,8.892000000000001,危险,95.0
t16,16,25770.5,0.0,98.0,85.5,85.5,12.5,87.24489795918367,11.115,0.8,8.892000000000001,危险,95.0
t17,17,25685.0,0.0,98.0,85.5,85.5,12.5,87.24489795918367,11.115,0.8,8.892000000000001,危险,95.0
t18,18,25599.5,0.0,114.07270415933377,85.5,85.49999999999997,28.5727041593338,74.95219880171842,11.115,1.2,13.338,危险,95.0
t19,19,25514.0,0.0,127.698484809835,85.5,85.5,42.198484809835,66.95459239577055,11.115,1.2,13.338,危险,95.0
t20,20,25428.5,0.0,136.80294036547403,85.5,85.50000000000003,51.302940365474,62.49865666014463,11.115,1.2,13.338,危险,95.0
t21,21,25351.5,0.0,77.0,77.0,77.0,0.0,100.0,10.01,1.2,12.011999999999999,危险,85.55555555555556
t22,22,25274.5,0.0,77.0,77.0,77.0,0.0,100.0,10.01,0.4,4.0040000000000004,危险,85.55555555555556
t23,23,25218.5,0.0,56.0,56.0,56.0,0.0,100.0,7.28,0.4,2.9120000000000004,危险,62.22222222222222
t24,24,25176.85,0.0,41.65,41.6500000000015,41.65,0.0,100.0,5.414500000000195,0.4,2.165800000000078,危险,46.27777777777944
t25,25,25135.2,0.0,41.65,41.6499999999978,41.65,0.0,100.0,5.414499999999714,0.4,2.165799999999886,危险,46.277777777775334
t26,26,25093.55,0.0,41.65,41.6500000000015,41.65,0.0,100.0,5.414500000000195,0.4,2.165800000000078,危险,46.27777777777944
t27,27,25051.9,0.0,41.65,41.6499999999978,41.65,0.0,100.0,5.414499999999714,0.4,2.165799999999886,危险,46.277777777775334
t28,28,25010.25,0.0,41.65,41.6500000000015,41.65,0.0,100.0,5.414500000000195,0.4,2.165800000000078,危险,46.27777777777944
t29,29,25000.0,0.0,41.65,10.25,10.25,31.4,24.609843937575032,1.3325,0.4,0.533,危险,11.38888888888889
t30,30,25000.0,0.0,68.425,-0.0,0.0,68.425,0.0,-0.0,0.4,-0.0,危险,-0.0
t31,31,25000.0,0.0,88.02566037265669,-0.0,-1.4210854715202004e-14,88.0256603726567,-1.614399103061578e-14,-0.0,0.8,-0.0,危险,-0.0
t32,32,25000.0,0.0,89.25,-0.0,0.0,89.25,0.0,-0.0,1.2,-0.0,危险,-0.0
t33,33,25000.0,0.0,89.25,-0.0,0.0,89.25,0.0,-0.0,1.2,-0.0,危险,-0.0
t34,34,25000.0,0.0,89.25,-0.0,0.0,89.25,0.0,-0.0,1.2,-0.0,危险,-0.0
t35,35,25000.0,0.0,77.35,-0.0,0.0,77.35,0.0,-0.0,1.2,-0.0,危险,-0.0
t36,36,25000.0,0.0,77.35,-0.0,0.0,77.35,0.0,-0.0,0.8,-0.0,危险,-0.0
t37,37,25000.0,0.0,83.3,-0.0,0.0,83.3,0.0,-0.0,0.8,-0.0,危险,-0.0
t38,38,25000.0,0.0,83.3,-0.0,0.0,83.3,0.0,-0.0,0.8,-0.0,危险,-0.0
t39,39,25000.0,0.0,83.3,-0.0,0.0,83.3,0.0,-0.0,0.8,-0.0,危险,-0.0
