time,R1_storage,R2_storage,R3_storage,T1_flow,T2_flow,T3_flow,S1_flow,S2_flow,S3_flow,T1_power,T2_power,T3_power,electricity_price,total_power,revenue
t0,3000.0,2400.0,1800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0
t1,3000.0,2400.0,1800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0
t2,3000.0,2400.0,1800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0
t3,3000.0,2400.0,1800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0
t4,3000.0,2400.0,1800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0
t5,3000.0,2400.0,1800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0
t6,3000.0,2400.0,1800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0
t7,3000.0,2400.0,1800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
t8,2800.0,2420.0,1980.0,200.0,180.0,0.0,0.0,0.0,0.0,383.2888888888889,273.91,0.0,0.8,657.1988888888889,525759.1111111111
t9,2600.0,2440.0,2160.0,200.0,180.0,0.0,0.0,0.0,0.0,383.2888888888889,273.91,0.0,0.8,657.1988888888889,525759.1111111111
t10,2400.0,2460.0,2340.0,200.0,180.0,0.0,0.0,0.0,0.0,383.2888888888889,273.91,0.0,0.8,657.1988888888889,525759.1111111111
t11,2400.0,2460.0,2340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
t12,2400.0,2460.0,2340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
t13,2400.0,2460.0,2340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
t14,2400.0,2460.0,2340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
t15,2400.0,2460.0,2340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
t16,2400.0,2460.0,2340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
t17,2400.0,2460.0,2340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
t18,2200.0,2480.0,2520.0,200.0,180.0,0.0,0.0,0.0,0.0,383.2888888888889,273.91,0.0,0.8,657.1988888888889,525759.1111111111
t19,2000.0,2500.0,2700.0,200.0,180.0,0.0,0.0,0.0,0.0,383.2888888888889,273.91,0.0,0.8,657.1988888888889,525759.1111111111
t20,1800.0,2700.0,2700.0,200.0,0.0,0.0,0.0,0.0,0.0,383.2888888888889,0.0,0.0,0.8,383.2888888888889,306631.1111111111
t21,1600.0,2900.0,2700.0,200.0,0.0,0.0,0.0,0.0,0.0,383.2888888888889,0.0,0.0,0.8,383.2888888888889,306631.1111111111
t22,1600.0,2900.0,2700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
t23,1600.0,2900.0,2700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0
t24,1600.0,2900.0,2700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0
t25,1600.0,2900.0,2700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0
t26,1600.0,2900.0,2700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0
t27,1600.0,2900.0,2700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0
t28,1600.0,2900.0,2700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0
t29,1600.0,2900.0,2700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0
t30,1600.0,2900.0,2700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0
t31,1600.0,2900.0,2700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
t32,1400.0,3100.0,2700.0,200.0,0.0,0.0,0.0,0.0,0.0,383.2888888888889,0.0,0.0,0.8,383.2888888888889,306631.1111111111
t33,1200.0,3300.0,2700.0,200.0,0.0,0.0,0.0,0.0,0.0,383.2888888888889,0.0,0.0,0.8,383.2888888888889,306631.1111111111
t34,1000.0,3500.0,2700.0,200.0,0.0,0.0,0.0,0.0,0.0,383.2888888888889,0.0,0.0,0.8,383.2888888888889,306631.1111111111
t35,1000.0,3500.0,2700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
t36,1000.0,3500.0,2700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
t37,1000.0,3500.0,2700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
t38,1000.0,3500.0,2700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
t39,1000.0,3500.0,2700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
t40,1000.0,3500.0,2700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
t41,1000.0,3500.0,2700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
t42,900.0,3600.0,2700.0,100.0,0.0,0.0,0.0,0.0,0.0,191.64444444444445,0.0,0.0,0.8,191.64444444444445,153315.55555555556
t43,900.0,3600.0,2700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0
t44,900.0,3600.0,2700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0
