time,pool1_depth,pool2_depth,pool3_depth,pool4_depth,gate0_flow,gate1_flow,gate2_flow,gate3_flow,gate4_flow,offtake1,offtake2,offtake3
0,1.9994349999999999,1.7992373333333331,1.5994129166666669,1.5,24.0,24.0,24.0,24.0,24.0,2.0,3.0,2.5
5,1.9988691673020893,1.7984728327420307,1.5988243840122918,1.4999975449107144,24.002825,24.005113,24.006874250000003,24.006874250000003,24.006874250000003,2.0,3.0,2.5
10,1.9983024998127294,1.7977064942224026,1.598234395902234,1.4999926235896959,24.005654163489552,24.010235665263462,24.013762513226588,24.013769878494443,24.013779698851586,2.0,3.0,2.5
15,1.9977349954333898,1.7969383137576083,1.5976429461775241,1.4999852248520407,24.008487500936354,24.015368018269147,24.020664830562446,24.02068695979336,24.020716465434575,2.0,3.0,2.5
20,1.9971666520605327,1.796168287317606,1.5970500286547649,1.4999753374702323,24.011325022833052,24.02051008156023,24.027581243027658,24.027625568471535,24.027684669063373,2.0,3.0,2.5
25,1.996597467585593,1.7953964108591038,1.5964556371260308,1.4999629501739864,24.014166739697338,24.02566187774452,24.034511791780226,24.03458577936953,24.0346844294886,2.0,3.0,2.5
30,1.9960274398949627,1.7946233081032885,1.5958597653587678,1.499948051650094,24.017012662072034,24.030823429494724,24.041456518116632,24.041567667594673,24.041715866898727,2.0,3.0,2.5
35,1.9954565675499507,1.7938489763307899,1.5952624074927646,1.4999306312148837,24.019862800525186,24.03599287621532,24.04841358013902,24.048569425188738,24.048777218588363,2.0,3.0,2.5
40,1.9948848491084348,1.7930734128133672,1.5946635576456747,1.499910678146214,24.022717162250245,24.041170233257876,24.055383010779583,24.05559111713493,24.055868592275395,2.0,3.0,2.5
45,1.99431228312485,1.7922966148138708,1.5940632099129293,1.4998881816833363,24.025575754457826,24.046355516017723,24.0623648430807,24.06263280864206,24.062990096057206,2.0,3.0,2.5
50,1.9937388681501775,1.791518579586207,1.593461358367648,1.4998631310267607,24.02843858437575,24.051548739934137,24.06935911019535,24.06969456514534,24.070141838411995,2.0,3.0,2.5
55,1.9931646027319323,1.7907393043753006,1.5928579970605505,1.4998355153381178,24.031305659249114,24.056749920490493,24.07636584538755,24.076776452307268,24.077323928200226,2.0,3.0,2.5
60,1.9918316381380654,1.7904105959104963,1.5922531200198666,1.4998053237400228,24.034176986340338,24.061959073214435,24.083385082032784,24.08387853601843,24.08453647466596,5.0,1.0,2.5
65,1.990498287556979,1.7900801135962634,1.5916462081115688,1.4997716760988304,24.040841809309672,24.069610021578182,24.092850661518582,24.093434690298515,24.094213395338425,5.0,1.0,2.5
70,1.9891645489316514,1.7897478542435574,1.5910378425623795,1.4997345590044018,24.047508562215103,24.077268221426312,24.102329597091607,24.103014568795118,24.103927864399797,5.0,1.0,2.5
75,1.9878304202008585,1.789413815312434,1.5904280172682532,1.4996939596287258,24.05417725534174,24.08493369261107,24.111820164923934,24.112616487910728,24.11367825189312,5.0,1.0,2.5
80,1.9864958992998982,1.7890779942525312,1.5898167261004732,1.4996498650987786,24.060847898995707,24.092606453058405,24.121322401253646,24.12224052236747,24.123464683852568,5.0,1.0,2.5
85,1.985160984160578,1.7887403885030282,1.5892039629055477,1.499602262496368,24.06752050350051,24.100286520742916,24.130836342441498,24.131886747145163,24.133287286750047,5.0,1.0,2.5
90,1.9838256727111996,1.78840183754513,1.588589721505107,1.499551138857976,24.07419507919711,24.107973913688028,24.140362024971385,24.14155523748228,24.143146187496807,5.0,1.0,2.5
95,1.9824899638212279,1.7880623388485302,1.5879739962284252,1.4994964820768022,24.080871636444,24.115666123808612,24.14989695929329,24.151243542719364,24.15303898728746,5.0,1.0,2.5
100,1.9811538563569404,1.7877218898747769,1.5873567813822362,1.4994382800049717,24.08755018089386,24.12336316434827,24.159441175662995,24.16095172943259,24.16296580112538,5.0,1.0,2.5
105,1.979817349181416,1.7873804880772404,1.5867380712499337,1.4993765204533966,24.094230718215297,24.131065048590965,24.168994704444255,24.17067986442934,24.17292674440945,5.0,1.0,2.5
110,1.978480441154524,1.7870381309010723,1.5861178600914734,1.4993111911916333,24.10091325409292,24.1387717898612,24.178557576111398,24.180428014751207,24.18292193293762,5.0,1.0,2.5
115,1.9771431311329142,1.7866948157831677,1.5854961421432765,1.4992422799477374,24.10759779422738,24.146483401524165,24.188129821249746,24.190196247674844,24.192951482908313,5.0,1.0,2.5
120,1.9765634169144133,1.7858984689038484,1.5848729116181346,1.4991697744081225,24.11428434433543,24.15419989698593,24.1977114705561,24.199984630712887,24.203015510921936,2.0,3.0,2.5
125,1.9759828309369873,1.785101686919471,1.5842486758777798,1.4990945314249065,24.117182915427932,24.15948750871639,24.204868773861985,24.207359450637618,24.210680353005127,2.0,3.0,2.5
130,1.975401372611518,1.784304467665876,1.5836242198170691,1.499017549983139,24.120085845315064,24.16478078455665,24.212034756923313,24.214751162648593,24.218373036948968,2.0,3.0,2.5
135,1.9748190413462743,1.78350680988949,1.5829995402134958,1.4989388249613096,24.12299313694241,24.17007973394478,24.219207074493575,24.222154424544158,24.2260842246116,2.0,3.0,2.5
140,1.974235836547901,1.7827087123324463,1.5823746338355469,1.49885835122299,24.125904793268628,24.17538436360016,24.22638574295967,24.229569268075743,24.233813968230503,2.0,3.0,2.5
145,1.9736517576214114,1.7819101737325718,1.58174949744267,1.4987761236167894,24.128820817260497,24.18069468026316,24.23357077875652,24.23699572508755,24.24156232019559,2.0,3.0,2.5
150,1.973066803970184,1.7811103506023214,1.5811241277852408,1.4986921369763064,24.131741211892944,24.18601069069523,24.24076219836722,24.244433827516854,24.249329333049698,2.0,3.0,2.5
155,1.9724809740816391,1.7803092416189614,1.5804985210717426,1.4986063852177063,24.13466598014908,24.191334928342116,24.247962544986393,24.251886134057475,24.257117586152248,2.0,3.0,2.5
