time,pool1_depth,pool2_depth,pool3_depth,pool4_depth,gate0_flow,gate1_flow,gate2_flow,gate3_flow,gate4_flow,offtake1,offtake2,offtake3
0,2.013345958012801,1.7245927108478691,1.5068689080191213,1.4329933668147252,22.0,22.0,22.0,22.0,22.0,2.0,3.0,2.5
15,2.008145545360708,1.7175340827014203,1.497845680664989,1.4227961746895577,23.979981062980798,24.0,24.0,24.0,24.0,2.0,3.0,2.5
30,2.0070481497610753,1.7151675740888044,1.495771249147345,1.4194509535930633,23.979981062980798,24.0,24.0,24.0,24.40233552919535,2.0,3.0,2.5
45,2.0059590398437344,1.7128322450498115,1.4937661839458705,1.4179002862975305,23.979981062980798,24.0,24.0,24.0,24.40233552919535,2.0,3.0,2.5
60,1.99854086863968,1.7160064191487427,1.490525164936564,1.4163489777378657,23.979981062980798,24.0,24.0,24.32166298188254,24.40233552919535,5.0,1.0,2.5
75,1.9960805365590708,1.7145046326024513,1.488405324359644,1.4147970271178474,23.979981062980798,24.0,24.0,24.32166298188254,24.40233552919535,5.0,1.0,2.5
90,1.9936070410004378,1.7126915079563485,1.486282452698732,1.4132444336396046,23.979981062980798,24.0,24.0,24.32166298188254,24.40233552919535,5.0,1.0,2.5
105,1.9911304653474577,1.7120044743439164,1.48415654448975,1.4116911965036132,23.979981062980798,24.0,24.0,24.32166298188254,24.40233552919535,5.0,1.0,2.5
120,1.9886549444108996,1.71131557817267,1.4820275942497427,1.4101373149086898,23.979981062980798,24.0,24.0,24.32166298188254,24.40233552919535,5.0,1.0,2.5
135,1.9861778122918625,1.7106248160980835,1.4798955964767848,1.4085827880519874,23.979981062980798,24.0,24.0,24.32166298188254,24.40233552919535,5.0,1.0,2.5
150,1.9836990654982574,1.7099321847668405,1.4777605456498903,1.4070276151289915,23.979981062980798,24.0,24.0,24.32166298188254,24.40233552919535,5.0,1.0,2.5
165,1.9812187005277726,1.7092376808168,1.4756224362289219,1.4054717953335136,23.979981062980798,24.0,24.0,24.32166298188254,24.40233552919535,5.0,1.0,2.5
