time,pool1_depth,pool2_depth,pool3_depth,pool4_depth,gate0_flow,gate1_flow,gate2_flow,gate3_flow,gate4_flow,offtake1,offtake2,offtake3
0,1.9994349999999999,1.7992373333333331,1.5994129166666669,1.5,24.0,24.0,24.0,24.0,24.0,2.0,3.0,2.5
5,1.9988691673020893,1.7984728327420307,1.5988243840122918,1.4999975449107144,24.002825,24.005113,24.006874250000003,24.006874250000003,24.006874250000003,2.0,3.0,2.5
10,1.9983024998127294,1.7977064942224026,1.598234395902234,1.4999926235896959,24.005654163489552,24.010235665263462,24.013762513226588,24.013769878494443,24.013779698851586,2.0,3.0,2.5
15,1.9977349954333898,1.7969383137576083,1.5976429461775241,1.4999852248520407,24.008487500936354,24.015368018269147,24.020664830562446,24.02068695979336,24.020716465434575,2.0,3.0,2.5
20,1.9971666520605327,1.796168287317606,1.5970500286547649,1.4999753374702323,24.011325022833052,24.02051008156023,24.027581243027658,24.027625568471535,24.027684669063373,2.0,3.0,2.5
25,1.996597467585593,1.7953964108591038,1.5964556371260308,1.4999629501739864,24.014166739697338,24.02566187774452,24.034511791780226,24.03458577936953,24.0346844294886,2.0,3.0,2.5
30,1.9960274398949627,1.7946233081032885,1.5958597653587678,1.499948051650094,24.017012662072034,24.030823429494724,24.041456518116632,24.041567667594673,24.041715866898727,2.0,3.0,2.5
35,1.9954565675499507,1.7938489763307899,1.5952624074927646,1.4999306312148837,24.019862800525186,24.03599287621532,24.04841358013902,24.048569425188738,24.048777218588363,2.0,3.0,2.5
40,1.9948848491084348,1.7930734128133672,1.5946635576456747,1.499910678146214,24.022717162250245,24.041170233257876,24.055383010779583,24.05559111713493,24.055868592275395,2.0,3.0,2.5
45,1.99431228312485,1.7922966148138708,1.5940632099129293,1.4998881816833363,24.025575754457826,24.046355516017723,24.0623648430807,24.06263280864206,24.062990096057206,2.0,3.0,2.5
50,1.9937388681501775,1.791518579586207,1.593461358367648,1.4998631310267607,24.02843858437575,24.051548739934137,24.06935911019535,24.06969456514534,24.070141838411995,2.0,3.0,2.5
55,1.9931646027319323,1.7907393043753006,1.5928579970605505,1.4998355153381178,24.031305659249114,24.056749920490493,24.07636584538755,24.076776452307268,24.077323928200226,2.0,3.0,2.5
60,1.9925894854141513,1.7899587864170585,1.5922531200198666,1.4998053237400228,24.034176986340338,24.061959073214435,24.083385082032784,24.08387853601843,24.08453647466596,2.0,3.0,2.5
65,1.9920135147373814,1.7891770229375776,1.5916467212512462,1.4997725453159378,24.037052572929245,24.06717621367807,24.09041685361847,24.091000882398404,24.091779587438314,2.0,3.0,2.5
70,1.9914366892386675,1.788394011153105,1.5910393832793353,1.4997371691100325,24.039932426313094,24.07240135750036,24.09746119374662,24.098143557798807,24.099053376535053,2.0,3.0,2.5
75,1.9908590074515389,1.7876097489525118,1.5904311013040096,1.4996991847576255,24.042816553806663,24.07763452034735,24.104516370509344,24.105304863179246,24.106356186739117,2.0,3.0,2.5
80,1.9902804679067365,1.7868242342169203,1.5898218705065126,1.499658581858101,24.045704962742306,24.08287571588477,24.111582411972744,24.11248485769987,24.113688118669366,2.0,3.0,2.5
85,1.9897010691322026,1.786037464819672,1.5892116860493777,1.4996153499747833,24.048597660466317,24.088124957815555,24.118659346296017,24.119683600721714,24.12104927328931,2.0,3.0,2.5
90,1.9891208096530704,1.7852494386262971,1.5886005430763535,1.4995694786348162,24.05149465433899,24.093382259879974,24.12574720173184,24.12690115180749,24.12843975190836,2.0,3.0,2.5
95,1.9885396879916537,1.7844601534944835,1.5879884367123263,1.4995209573290362,24.054395951734648,24.098647635855755,24.132846006626696,24.13413757072225,24.135859656182983,2.0,3.0,2.5
100,1.987957702667437,1.7863973174707777,1.5873753620632427,1.4994697755118513,24.057301560041733,24.10392109955828,12.069977894710652,24.141392917434196,24.143309088118052,2.0,3.0,2.5
105,1.9873778100581745,1.788335079112205,1.5867630396004966,1.499418845147752,24.060211486662816,24.101019534250483,12.069446724030378,24.1404841215252,24.142605019477795,2.0,3.0,2.5
110,1.986800010698997,1.7902734412249919,1.5861514735943472,1.4993681720486316,24.063110949709127,24.09810571237251,12.06890829678551,24.139560058127763,24.141884677536755,2.0,3.0,2.5
115,1.9862243051271293,1.7922124066210607,1.5855406683291862,1.4993177620494507,24.065999946505016,24.09517962283004,12.0683626010235,24.138620685901106,24.14114799770658,2.0,3.0,2.5
120,1.9856506938818934,1.7941519781180448,1.5849306281035875,1.4992676210083193,24.068878474364354,24.09224125450117,12.067809624756807,24.13766596336526,24.14039491516746,2.0,3.0,2.5
125,1.9850791775047127,1.796092158539303,1.5843213572303543,1.499217754806581,24.071746530590534,24.0892905962364,12.067249355962819,24.13669584890068,24.139625364867403,2.0,3.0,2.5
130,1.9845097565391163,1.7980329507139357,1.5837128600365646,1.4991691782774663,24.074604112476436,24.086327636858528,12.066681782583732,24.13571030074772,24.1388392815214,2.0,3.0,2.5
135,1.9839424315307432,1.7999743541902844,1.5831051421736453,1.4991219013583161,24.077451217304418,24.08335236516261,12.06610689252646,24.13470625022052,24.138029537110654,2.0,3.0,2.5
140,1.9833772030237855,1.801916368519896,1.5824982093112836,1.4990759340215982,24.080287842346284,24.08036477977543,12.065524676627247,24.133683649179545,24.13719604374628,2.0,3.0,2.5
145,1.9828140715609912,1.8038589932575304,1.5818920671374859,1.4990312862750257,24.083113984881074,24.077364879321387,12.064935125693768,24.13264244932274,24.13633871323635,2.0,3.0,2.5
150,1.9822530376836671,1.8058022279611692,1.581286721358633,1.4989879681616731,24.085929642195044,24.074352662422452,12.064338230504998,24.131582602184917,24.135457457084815,2.0,3.0,2.5
155,1.9816941019316818,1.8077460721920238,1.5806821776995361,1.498945989760095,24.088734811581663,24.071328127698155,12.063733981811128,24.130504059137238,24.134552186490545,2.0,3.0,2.5
