time,pool1_depth,pool2_depth,pool3_depth,pool4_depth,gate0_flow,gate1_flow,gate2_flow,gate3_flow,gate4_flow,offtake1,offtake2,offtake3
0,1.9343537051250144,1.7841218182864467,1.6588422281903772,1.447666503781201,22.0,22.0,22.0,22.0,22.0,2.0,3.0,2.5
15,1.9291235745937807,1.7773427494178706,1.6501661303151904,1.4375089878199376,24.0,24.0,24.0,24.0,24.0,2.0,3.0,2.5
30,1.9280553005404708,1.7751410640904948,1.6481828521760298,1.4362242486972538,24.0,24.0,24.0,24.0,24.0,2.0,3.0,2.5
45,1.9269953013037135,1.7729691588667371,1.6462902292399653,1.4349390715658,24.0,24.0,24.0,24.0,24.0,2.0,3.0,2.5
60,1.9259338520665292,1.7707950455758812,1.6443952402332729,1.4336534559772782,24.0,24.0,24.0,24.0,24.0,2.0,3.0,2.5
75,1.9248708820491318,1.768618266522226,1.6424978815074216,1.4323674014826253,24.0,24.0,24.0,24.0,24.0,2.0,3.0,2.5
90,1.9238063877511191,1.7983447996837858,1.6405981494030022,1.4310809076320112,24.0,24.0,12.0,24.0,24.0,2.0,3.0,2.5
105,1.9228279088944322,1.8152483464846763,1.6386960402496809,1.4297939739748373,24.0,24.0,7.0,24.0,24.0,2.0,3.0,2.5
120,1.9218318677851738,1.8234864893101836,1.6367915503661545,1.4285066000597337,24.0,24.0,4.5,24.0,24.0,2.0,3.0,2.5
135,1.9208219822484984,1.8281277899206494,1.6348846760601055,1.427218785434558,24.0,24.0,6.5,24.0,24.0,2.0,3.0,2.5
150,1.9198069655667178,1.8285713168354278,1.6329754136281545,1.4259305296463933,24.0,24.0,8.5,24.0,24.0,2.0,3.0,2.5
165,1.9187830085484219,1.828199502857103,1.6310637593558166,1.424641832241547,24.0,24.0,10.5,24.0,24.0,2.0,3.0,2.5
