time,pool1_depth,pool2_depth,pool3_depth,pool4_depth,gate0_flow,gate1_flow,gate2_flow,gate3_flow,gate4_flow,offtake1,offtake2,offtake3
0,0.6,0.54,0.48,0.44999999999999996,23.0,23.0,23.0,23.0,23.0,2.0,3.0,2.5
10,0.6,0.54,0.48,0.44999999999999996,26.0,26.0,26.0,26.0,26.0,2.0,3.0,2.5
20,0.6,0.54,0.48,0.44999999999999996,29.0,29.0,29.0,29.0,29.0,2.0,3.0,2.5
30,0.6,0.54,0.48,0.44999999999999996,31.0,32.0,32.0,32.0,30.0,2.0,3.0,2.5
40,0.6,0.54,0.48,0.44999999999999996,31.0,34.78,35.0,32.0,30.0,2.0,3.0,2.5
50,0.6,0.54,0.48,0.44999999999999996,31.0,34.78,35.0,32.0,30.0,2.0,3.0,2.5
60,0.6,0.54,0.48,0.44999999999999996,31.0,34.78,35.0,32.0,30.0,2.0,3.0,2.5
70,0.6,0.54,0.48,0.44999999999999996,31.0,34.78,35.0,32.0,30.0,2.0,3.0,2.5
80,0.6,0.54,0.48,0.44999999999999996,31.0,34.78,35.0,32.0,30.0,2.0,3.0,2.5
90,0.6,0.54,0.48,0.44999999999999996,31.0,34.78,35.0,32.0,30.0,2.0,3.0,2.5
100,0.6,0.54,0.48,0.44999999999999996,31.0,34.78,35.0,32.0,30.0,2.0,3.0,2.5
110,0.6,0.54,0.48,0.44999999999999996,31.0,34.78,35.0,32.0,30.0,2.0,3.0,2.5
120,0.6,0.54,0.48,0.44999999999999996,31.0,34.78,35.0,32.0,30.0,2.0,3.0,2.5
130,0.6,0.54,0.48,0.44999999999999996,31.0,34.78,35.0,32.0,30.0,2.0,3.0,2.5
140,0.6,0.54,0.48,0.44999999999999996,31.0,34.78,35.0,32.0,30.0,2.0,3.0,2.5
150,0.6,0.54,0.48,0.44999999999999996,31.0,34.78,35.0,32.0,30.0,2.0,3.0,2.5
160,0.6,0.54,0.48,0.44999999999999996,31.0,34.78,35.0,32.0,30.0,2.0,3.0,2.5
170,0.6,0.54,0.48,0.44999999999999996,31.0,34.78,35.0,32.0,30.0,2.0,3.0,2.5
