period,inflow,demand,gate_flow,pump_flow,delivered,shortage,tailwater_shortage,reservoir_storage,reservoir_level,tailwater_storage,tailwater_stage
t01,80.0,78.0,120.0,78.0,78.0,0.0,6.000000000000014,360.0,208.7,48.000000000000014,116.4
t02,78.0,80.60000000000001,45.0,80.60000000000001,80.60000000000001,0.0,0.0,393.0,211.01,12.400000000000006,117.72
t03,76.0,83.2,120.0,83.2,83.2,0.0,0.0,349.0,207.94,49.2,115.96
t04,75.0,85.8,80.0,85.8,85.8,0.0,0.0,344.0,207.64,43.400000000000006,115.76
t05,74.0,88.4,45.0,88.4,88.4,0.0,0.0,373.0,209.61,0.0,116.92
t06,70.0,91.0,93.00000000000007,90.0,89.0,1.0,65.99999999999999,349.99999999999994,208.0,69.00000000000006,116.0
t07,68.0,96.2,67.99999999999994,90.0,83.8,6.200000000000003,0.0,350.0,208.0,47.0,116.0
t08,66.0,101.4,66.0,90.0,78.6,11.400000000000006,0.0,350.0,208.0,23.0,116.0
t09,64.0,104.0,117.0,90.0,76.0,14.0,0.0,297.0,204.82,50.0,113.88
t10,60.0,101.4,45.0,90.0,78.6,11.400000000000006,0.0,312.0,205.72,5.0,114.48
t11,58.0,98.8,120.0,90.0,81.2,8.799999999999997,0.0,250.0,202.0,35.0,112.0
t12,55.0,93.60000000000001,55.0,90.0,86.39999999999999,3.6000000000000085,0.0,250.0,202.0,0.0,112.0
